Mode 6-HDD-1-NVMe/base-1 6-HDD-1-NVMe/base-2 6-HDD-1-NVMe/base-3 6-HDD-1-NVMe/base-4 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/caching-1 6-HDD-1-NVMe/caching-2 6-HDD-1-NVMe/caching-3 6-HDD-1-NVMe/caching-4 6-HDD-1-NVMe/caching-5 6-HDD-1-NVMe/read-caching-1 6-HDD-1-NVMe/read-caching-2 6-HDD-1-NVMe/read-caching-3 6-HDD-1-NVMe/read-caching-4 6-HDD-1-NVMe/read-caching-5 6-HDD-1-NVMe/write-caching-1 6-HDD-1-NVMe/write-caching-2 6-HDD-1-NVMe/write-caching-3 6-HDD-1-NVMe/write-caching-4 6-HDD-1-NVMe/write-caching-5 
"262144/512" 8894371 6052452 9051951 7071414 8802373 7318134 7451294 5284619 6508034 7538501 6171872 6236778 8329961 8701297 8629928 7580391 8769447 7125213 7620478 6722670 
"262144/1024" 9152086 8958214 7990996 9120580 8341399 8660449 7076921 5511286 5402479 5349437 8354138 7776951 8115686 7746814 8769657 7887355 5488534 7563496 8711707 5374907 
"262144/2048" 8564254 7435221 8422033 8989856 8917383 5349775 5445558 8682264 6320238 6335059 8706464 8070947 8825194 8224595 8159652 5116891 7660510 8681990 5749266 8321261 
"262144/4096" 7286658 7619369 7559128 6926982 7061695 5468525 5639336 4593858 6045630 5551776 6203560 6967100 6626126 6376649 6864748 5752665 7197414 4715254 4784254 5488671 
"262144/8192" 5714544 5600643 5803372 5466459 5745241 4141742 5631076 4264998 4803714 5496024 5618788 4820858 5260876 5584315 5385807 4798975 4755718 4669636 4810334 4286063 
"262144/16384" 5856540 5131123 5726181 5771932 5746982 5035804 4780239 4874482 5161425 5606154 5629260 5430201 5316458 5615775 5338865 4999579 4509839 4750704 5299264 5458047 
"524288/64" 8936692 7702741 8675681 8982798 9070912 8572127 8776020 7620341 7527890 8838311 8889690 6867080 8467590 8911738 8244168 7619786 8900556 6360396 8741205 7509048 
"524288/128" 9200287 7609951 9181272 8884734 9082826 8866392 7500007 9027937 6902343 8528773 8089735 9086467 8749343 9081401 9040073 7216518 8620618 7988407 6148056 7903877 
"524288/256" 7548070 8492673 8803283 9061941 8704183 8600523 8979057 9001109 6033584 7414933 9029012 8577443 8851439 9092290 7820645 7811672 7350492 7781156 7642003 7863320 
"524288/512" 8680852 8878707 9077165 9178054 7485761 7322149 7554371 7378831 8983238 8410141 9121859 8639517 7196821 9019383 9020641 8967998 7270969 8144536 7253676 8932880 
"524288/1024" 9277764 9222434 9225878 9054590 9113429 6387685 8198403 8842932 7045084 8966353 9091613 8056304 9095900 8928636 7594838 6173601 8020544 8546839 8578413 6541503 
"524288/2048" 9096691 8710976 8877345 8924976 9041002 8554919 7503539 6785667 9050342 8610963 6700339 8684864 6934842 8991246 8928129 7600035 8952263 6092830 6167662 8554220 
"524288/4096" 6980099 7722813 7404472 7414733 6829608 6953041 6912345 7257674 5730177 5321370 6645144 7329202 6809390 7038365 7219124 5208304 7336905 4889882 7045942 5455932 
"524288/8192" 5753942 5664128 5723406 5764953 5793553 5683349 5683716 5697544 4939585 5684451 5675091 5684995 5672881 5669824 5689083 4973705 4811521 4947230 4544565 5286815 
"524288/16384" 5852095 5831068 5333282 5782250 5808888 4887882 5686479 5699833 5681734 5651856 5676879 5106089 5634406 5643212 5664435 5540220 4804562 5665223 5649838 5648749 
